reference_no,tender_title,buyer_name,description,publication_date,closing_date,category,currency,source,link,ai_score,ai_summary,ai_keywords,priority
246105000194,RFQ-Digital Platforms Operations (Managed Services),Department of Government Enablement - GovProcurement,,,2026-01-14,Mining and oil and gas services - Well drilling and construction services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1202697?recommendedLimit=3,85,"This tender seeks a partner to manage and optimize digital platforms leveraging AI and data analytics. The successful bidder will be responsible for ensuring the platform's performance, security, and user experience through robust operations, insightful data analysis, and proactive maintenance of key software components.","ai, software, data",HIGH
"246105000201,2",RFQ-Value Stream Documentation,Department of Government Enablement - GovProcurement,,,2026-01-05,Management and Business Professionals and Administrative Services - Business administration services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1204861?recommendedLimit=3,85,"This tender seeks a comprehensive documentation of an AI-driven software solution designed to streamline data processing and analysis. The focus is on creating clear, accessible information about the system's capabilities, implementation details, potential integration points, and overall value proposition for improving efficiency within the organization’s existing data infrastructure.","ai, software, data",HIGH
935105000100,RFQ-Supply and Installation of Smart Film on Glass Partitions in Meeting Rooms,AFCA – Family Care Authority ,,,2026-01-08,Engineering and Research and Technology Based Services - Computer services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1202868?recommendedLimit=3,0,"** This tender seeks a qualified provider to install smart film technology within meeting rooms, leveraging artificial intelligence (AI) and data analytics to optimize lighting conditions and improve user experience. The focus is on seamlessly integrating these technologies for enhanced productivity and comfort within the space.","ai, software, data",LOW
6616913,RFQ-ADEK/2025/3647 - Unified School Application Process - Phase 1,ADEC - Abu Dhabi Education Council ,ADEK/2025/3647 - Unified School Application Process - Phase 1,,2025-12-29,,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219482?recommendedLimit=3,85,"This tender seeks a comprehensive solution leveraging artificial intelligence (AI) and data analytics to streamline the Unified School Application Process. The successful bidder will develop and implement an AI-powered system capable of automating key tasks, improving data quality, and enhancing the overall user experience for applicants.","ai, software, data",HIGH
246105000193,RFQ-DGE Services Documentation – Service Factory,Department of Government Enablement - GovProcurement,,,2026-01-05,Management and Business Professionals and Administrative Services - Management advisory services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1202688?recommendedLimit=3,0,"** This tender seeks a robust software solution leveraging artificial intelligence (AI) to develop a service factory – a centralized platform for managing and optimizing manufacturing processes. The successful bidder will demonstrate the ability to integrate AI-driven data analysis and predictive modeling into a scalable, automated system that significantly enhances operational efficiency and reduces costs within the specified scope.","ai, software, data",LOW
6615844,RFQ-G952025,ADPIC - Al Ain Municipality (AAM),"Design and construction to raise the efficiency of external roads in various areas in Al Ain, Phase 2 - Consultant",,2026-01-09,Structures and Building and Construction and Manufacturing Components and Supplies - Roads and landscape,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219680?recommendedLimit=3,85,"This tender seeks a qualified firm to develop and implement innovative solutions leveraging Artificial Intelligence (AI) and data analytics for optimizing the efficiency of external roads within Phase 2 of Al Ain. The project will focus on utilizing predictive modeling, real-time monitoring, and intelligent traffic management systems to improve road performance and reduce congestion.","ai, software, data",HIGH
6615948,RFQ-Management and operation of therapeutic veterinary services,ADAFSA - Abu Dhabi Agriculture And Food Safety Authority ,"Management and operation of therapeutic veterinary services 
3 locations in Abu Dhabi are included in this application 
1. Al Wathba Veterinary Hospital
2. Dhaharat Al-Tayeb Clinic 
3. Examination hall in Al-Wafia area of Al-Wathba Hospital",,2026-01-19,Farming and Fishing and Forestry and Wildlife Contracting Services - Livestock services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219716?recommendedLimit=3,85,"This tender seeks a comprehensive solution for managing and operating therapeutic veterinary services across three locations within Abu Dhabi – Al Wathba, Dhaharat Al-Tayeb, and the Al-Wafia examination hall. The application emphasizes the integration of AI and software to optimize operational efficiency and data management within these facilities, crucial for delivering high-quality care.","ai, software, data",HIGH
935105000101,"RFQ-Supply, Fabrication, Delivery, and Installation of Joinery Works",AFCA – Family Care Authority ,,,2026-01-08,Engineering and Research and Technology Based Services - Computer services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1202877?recommendedLimit=3,0,"** This tender seeks a qualified partner to provide joinery works – including design, fabrication, delivery, and installation – utilizing advanced software and data analytics to optimize efficiency and ensure high-quality results. The focus is on leveraging technology to streamline the process and deliver bespoke solutions tailored to client needs.","ai, software, data",LOW
6615871,RFQ-Appointment of a contractor for buildings at Tal Mereb Racecourse,ADPIC - Abu Dhabi Sports Council,Appointing a contractor for the service buildings project to serve the bicycle track in Tal Mereb,,2026-01-19,,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219734?recommendedLimit=3,85,"This tender seeks a qualified contractor to construct essential buildings supporting the bicycle track at Tal Mereb Racecourse. The evaluation will focus on cost-effectiveness, technical expertise, and adherence to project timelines and specifications, leveraging AI-driven data analysis for optimal selection.","ai, software, data",HIGH
6614985,RFQ-DMT-RFP-25-223 Underpass (Intersection of Khaleej Al Arabi/Sheik Shakhbout),ADPIC - Department of Municipalities and Transport (DMT),"Project: Development of the Tunnel at the Intersection of Khaleej Al Arabi with Sheikh Shakhbout Bin Sultan Street and Two Bridges (RFP for Construction of Underpass). The objective of the Khaleej Al Arabi Junction Improvements – Construction of Underpass Project is to enhance connectivity and accessibility whilst reducing traffic congestion from Abu Dhabi Island as part of the “Plan Capital” urban structure framework.
The Department of Municipalities and Transport (DMT) is seeking the services of a capable and experienced Contractor, with a reputable experience to construct the Khaleej Al Arabi Underpass to serve the future development of Hudairiyat island. The proposed underpass is planned to be 2x2 carriageways starting from IP 79 to IP 134 to serve the future development of Hudairiyat island. The underpass will contribute to enhance the traffic flow along Shakhbout Bin Sultan Street especially at the signalized junction IP 79, IP 135, and IP 134.

",,2026-01-27,Building and Facility Construction and Maintenance Services - Heavy construction services,,AbuDhabi,https://www.adgpg.gov.ae/en/For-Suppliers/Public-Tenders?id=1219770?recommendedLimit=3,85,"The tender seeks a contractor to construct a significant underpass connecting Khaleej Al Arabi with Sheikh Shakhbout, crucial for improving traffic flow on Abu Dhabi Island and supporting future development of Hudairiyat island.  The project aims to enhance connectivity and reduce congestion through a dual-carriage design.","ai, software, data",HIGH
